raw_comment,clean_comment
Otsusukī Hagoromo *Sitting in the corner.... 😅😅,otsusuk hagoromo sitting in the corner
Bro just woke up from tskouyuomi,bro just woke up from tskouyuomi
Only legends know kaguya otsusuki is the most powerful charector in Naruto,only legends know kaguya otsusuki is the most powerful charector in naruto
Please tell me what is going on with the obito picture,please tell me what is going on with the obito picture
Mever make a list again 😂,mever make a list again
Jiraya is 3 position ❤❤❤😢,jiraya is 3 position
"kagura eating chakra fruit,while watching the 3rd great ninja war..😅😅😅",kagura eating chakra fruitwhile watching the 3rd great ninja war
Bro where is Kagaya 😂😂,bro where is kagaya
Bro got trapped in itachi genjutsu,bro got trapped in itachi genjutsu
Hagoromo seeing from a side how my son progressing well😂,hagoromo seeing from a side how my son progressing well
What about kaguya otsutsuki,what about kaguya otsutsuki
I am itachi fan,i am itachi fan
this is if every one was how they should have been,this is if every one was how they should have been
Bro Hagoromo you miss it😅😅,bro hagoromo you miss it
Naruto ??? Where is otsutsuki???,naruto where is otsutsuki
Bhai gaara ki spelling galat hai,bhai gaara ki spelling galat hai
Perfect example of reels watcher 😂😂,perfect example of reels watcher
Where is hashirama ? 😢😢,where is hashirama
Never let bro cook again😭,never let bro cook again
Bro where are otsutsuki🎉,bro where are otsutsuki
Might Guy needs to be listed.,might guy needs to be listed
Harshirama and kaguya be like: And now we r jokers.,harshirama and kaguya be like and now we r jokers
Bro is in itachi genjutsu,bro is in itachi genjutsu
Bro in parallel universe 😂,bro in parallel universe
Bhai tm might guy ko bhul gye,bhai tm might guy ko bhul gye
Hogoromo:Am I a joke to you?,hogoromoam i a joke to you
Never let this guy to rank,never let this guy to rank
Bro where is kaguya otsusuki,bro where is kaguya otsusuki
"Itachi should be like 15~20.Also,you forgot to put Kaguya",itachi should be like 1520alsoyou forgot to put kaguya
hashirama be like i am in another universe brooo,hashirama be like i am in another universe brooo
Who the heck made this?,who the heck made this
"I think I am long way to goo ,I am still on naruto 😅😅😅 starting season",i think i am long way to goo i am still on naruto starting season
Bro forgot the otutsuki clan,bro forgot the otutsuki clan
Kaguya on the corner of the YouTube shorts,kaguya on the corner of the youtube shorts
Side effect of watching anime from yf shorts😂,side effect of watching anime from yf shorts
Bro really watched naruto from reels,bro really watched naruto from reels
Kakashi hatake,kakashi hatake
“I’m sure he’s killed some Uchiha just with his looks.” LOL.,im sure hes killed some uchiha just with his looks lol
"Who saw Kakashi real face 
👇",who saw kakashi real face
"Kakashi and Sasuke❤❤❤❤
Minato❤❤❤❤❤❤❤❤❤❤",kakashi and sasuke minato
"“No explanation, itachi is itachi.”🗿
Edit: it’s been over a year since I posted this comment, why are ppl still responding kakashi 😭",no explanation itachi is itachi edit its been over a year since i posted this comment why are ppl still responding kakashi
"“Kakashi hatake “
                             _ The most handsome guy_",kakashi hatake the most handsome guy
"TeamKakashi hatake
👇",teamkakashi hatake
Kakashi sensei❤ He shamelessly read Jerraya Sensei's book😂 Naruto calls Jerry sensei a shameless sensei😂,kakashi sensei he shamelessly read jerraya senseis book naruto calls jerry sensei a shameless sensei
Kakashi is my all time fav 🤩😍,kakashi is my all time fav
Kakashi Hatake 😊😊😊❤,kakashi hatake
"""Number 6 Tobirama. I'm sure he kills some uchihas just with his look"" I'm dead 😂",number 6 tobirama im sure he kills some uchihas just with his look im dead
"Kakashi""the handsome man""",kakashithe handsome man
That hair tells everything.. Kakashi Hatake❤💥,that hair tells everything kakashi hatake
"ITS KAKASHIII!!! And lol the, “No explanation, itachi is itachi” got me😅😂❤",its kakashiii and lol the no explanation itachi is itachi got me
Kakashi Hatake ❤❤My favourite Handsome Naruto Caracter❤❤❤❤❤❤❤,kakashi hatake my favourite handsome naruto caracter
"Here to remind you of Darui, Juugo, Kiba and Asuma",here to remind you of darui juugo kiba and asuma
Kakashi fans like here❤❤❤❤,kakashi fans like here
kakashi hatake is very very very handsome,kakashi hatake is very very very handsome
"“Those curly hairs suits him a lot.” 
Wtf is bro talking about 💀",those curly hairs suits him a lot wtf is bro talking about
Kakashi hatake ❤❤❤❤,kakashi hatake
The one who always has the book called icha icha paradies😂😂😂(kakashi),the one who always has the book called icha icha paradieskakashi
"""No explenation,Itachi is Itachi.""😅",no explenationitachi is itachi
Kakashi's looks is bordering to a genjutsu in itself.,kakashis looks is bordering to a genjutsu in itself
“His eyes makes him super handsome”😂😂😂 his whole clan has the same eyes,his eyes makes him super handsome his whole clan has the same eyes
Kakashi has the whole village drooling at just a glimpse of his face,kakashi has the whole village drooling at just a glimpse of his face
"I love how itachi needs no explanation, itachi is itachi",i love how itachi needs no explanation itachi is itachi
Kakashi is a 1no. Handsome 😍,kakashi is a 1no handsome
"Kakashi.          Itachi.             Minato
  Like.           Comment.         Comment
                       This❤.               💛",kakashi itachi minato like comment comment this
The fact that Shisui is not in this list is a crime,the fact that shisui is not in this list is a crime
"Shikamaru is so underrated.. With that hair style, cool attitude and his intellectual skills makes him so handsome. On top of it, he is pure hearted that he didn't care a damn about Naruto being Jinjuriki while everyone in the village gave a cold look on him. He is the type of guy who would look handsome in real life too",shikamaru is so underrated with that hair style cool attitude and his intellectual skills makes him so handsome on top of it he is pure hearted that he didnt care a damn about naruto being jinjuriki while everyone in the village gave a cold look on him he is the type of guy who would look handsome in real life too
Jiraya in his younger days 🤩,jiraya in his younger days
Team Kakashi 😳🥴💕,team kakashi
It's ofc Kakashi kun 😫😖😣🤧🤭🤍,its ofc kakashi kun
"Hashirama nr 1, but obito was also handsome especially in the end with the white hair tho",hashirama nr 1 but obito was also handsome especially in the end with the white hair tho
Gaara is way too handsome for being on no. 10,gaara is way too handsome for being on no 10
Kakashi is so handsome that when he pulled off his mask to eat his ramen the waiters were freaking blushing and heart eyed.,kakashi is so handsome that when he pulled off his mask to eat his ramen the waiters were freaking blushing and heart eyed
Kakashi hatake🔥🔥🔥🔥🔥,kakashi hatake
"no. 4. Itachi. ""no explanation, Itachi is Itachi"" got me rolling on the floor 😂 -I pridefully simp for Itachi and Neji.-",no 4 itachi no explanation itachi is itachi got me rolling on the floor i pridefully simp for itachi and neji
Kakashi Hatake,kakashi hatake
Kakashi Is unbeatable 🎉🎉fr fr,kakashi is unbeatable fr fr
"Remember guys,this is a grown man😭🙏🏾.",remember guysthis is a grown man
"Kakashi is my first love, at that timeI was 7 y.o and I still love him 😂😂😂😂",kakashi is my first love at that timei was 7 yo and i still love him
Sasuke kun 😍😍 is number 1💕,sasuke kun is number 1
1. Haku (if we agreed he's male),1 haku if we agreed hes male
Kakashi Hatake💚💚,kakashi hatake
Kakashi but when 'itachi' is mentioned I got brushed 😳,kakashi but when itachi is mentioned i got brushed
Kakashi Hatake most  handsome,kakashi hatake most handsome
"World Wide Handsome, Kakashi! 🤣🤣🤣
Any army here?💜💜💜",world wide handsome kakashi any army here
"Nahhh all the uchiha should be on that list, especially madara he was looking GOOD",nahhh all the uchiha should be on that list especially madara he was looking good
Number 1 of course Kakashi Hatake 😏 he's damn handsome ❤❤❤❤,number 1 of course kakashi hatake hes damn handsome
"Madara in the BACK : FOOLS, WAKE UP TO REALITY",madara in the back fools wake up to reality
Kakashi hatake is unstoppable,kakashi hatake is unstoppable
"Team Hidan and Itachi❤

👇",team hidan and itachi
The Deadpool is iconic now😂,the deadpool is iconic now
"Madara, Sai, Hashirama? Also in Boruto.. Konohamaru and Udon the biggest glow up.",madara sai hashirama also in boruto konohamaru and udon the biggest glow up
"*kakashi hatake*








he is super cool and handsome bruh i love him and












shikamaru too ❤",kakashi hatake he is super cool and handsome bruh i love him and shikamaru too
Of course Kakashi hatake❤❤❤❤❤❤❤ Naruto funs put a 👍,of course kakashi hatake naruto funs put a
Kakashi is so beautifaul,kakashi is so beautifaul
Naruto in that moon & hinata movie looked so handsome,naruto in that moon hinata movie looked so handsome
Oh man it's Kakashi hatake the most handsome mask boy as it's stuck with his style 😍😂😍,oh man its kakashi hatake the most handsome mask boy as its stuck with his style
"Hatake Kakashi team
👇",hatake kakashi team
Kakashi hatake 🎉,kakashi hatake
Kakashi lite uchiha,kakashi lite uchiha
"“You uchihas are very handsome. However, you I want to avoid.” -Mizukage to Madara 😏",you uchihas are very handsome however you i want to avoid mizukage to madara
"I like naruto ,kakashi❤❤ but my respect is more for itachi❤❤❤❤",i like naruto kakashi but my respect is more for itachi
"Kakashi 
Always reading 📚 books 😂",kakashi always reading books
Hatake Kakashi,hatake kakashi
Its a crime that theres not genma😭😭 hes so handsome honestly,its a crime that theres not genma hes so handsome honestly
kakashi hatake still handsome ❤❤❤,kakashi hatake still handsome
Kakashi hatake Kakashi ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ Kakashi is number one,kakashi hatake kakashi kakashi is number one
We got Deadpool  in Naruto before gta 6😂,we got deadpool in naruto before gta 6
"Kabuto over shisui, obito and izuna is a crime",kabuto over shisui obito and izuna is a crime
"Hidan, Deidara, Yahiko (Pain), Sasori, Itachi ❤",hidan deidara yahiko pain sasori itachi
Mr.worldwide kakashi😍💜,mrworldwide kakashi
"""No explanation, itachi is itachi"" these words made me laugh inside my mind😂😂😂😂Itachi is so good-looking and he is so charismatic",no explanation itachi is itachi these words made me laugh inside my minditachi is so goodlooking and he is so charismatic
"“No explanation, Itachi is itachi”😮‍💨",no explanation itachi is itachi
Sasuke Uchiha and Itachi Uchiha ❤❤❤💓💓🖤✨✨,sasuke uchiha and itachi uchiha
Hatake kakashi🔥🔥🥵🥵😎😎,hatake kakashi
Kakashi hatake ❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉😂🎉😊😊😊😊,kakashi hatake
Naruto without the headband 😍,naruto without the headband
Is there stats to back this up or did you let your zesty side take over?,is there stats to back this up or did you let your zesty side take over
Shikamaru is the one guy that seems like he’ll look good in any outfit without even trying 😅,shikamaru is the one guy that seems like hell look good in any outfit without even trying
Gaara: curly hair,gaara curly hair
Hahahah the first one was Kakashi,hahahah the first one was kakashi
Kakashi is always #1 in my eyes.😊,kakashi is always 1 in my eyes
"Team kakshi
👇🏻",team kakshi
bro getting a lil too zesty,bro getting a lil too zesty
"Hashirama should be top 5 
Iruka should’ve made the list
Jiraiya too",hashirama should be top 5 iruka shouldve made the list jiraiya too
1:Minato 🔥 2:sasuke 3: kakashi 4:negi 5: madara and itachi but childness cute 🥰 my boy obito 💔💘,1minato 2sasuke 3 kakashi 4negi 5 madara and itachi but childness cute my boy obito
Bro sasuke Sakura ki song edit chey,bro sasuke sakura ki song edit chey
I love how serious sasuke looks😊😊😊,i love how serious sasuke looks
"Best is Kakashi! ❤
He's over 50 and still looks better than everyone else.",best is kakashi hes over 50 and still looks better than everyone else
Kakashi my all time favorite ❤❤❤❤❤❤,kakashi my all time favorite
"Which Naruto moment is your favorite? Share in the comments. 
For more content like this, click here: https://youtube.com/playlist?list=PLmZTDWJGfRq0t3QNZXpZTA8RYUIY978iM&si=1wUE98c3WL507pw-",which naruto moment is your favorite share in the comments for more content like this click here
Not even an Honorable Mention for Minato arriving on the battlefield during the 4th Great Ninja War? That was one of the most badass entrances in anime history!,not even an honorable mention for minato arriving on the battlefield during the 4th great ninja war that was one of the most badass entrances in anime history
Naruto changed my life one of the greatest anime of all time,naruto changed my life one of the greatest anime of all time
I don’t care what nobody says. Lee dropping the weights is the most iconic Naruto moment EVERRRR,i dont care what nobody says lee dropping the weights is the most iconic naruto moment everrrr
"Naruto was actually the first anime I ever watched. It even rekindle my love for art, I’ll never forget that day. Someone showed me Naruto vs Orochimaru, and I instantly loved it.

 Naruto’s slap from hell alone, is  one of my favorite moments in the series.",naruto was actually the first anime i ever watched it even rekindle my love for art ill never forget that day someone showed me naruto vs orochimaru and i instantly loved it narutos slap from hell alone is one of my favorite moments in the series
Naruto fan for life,naruto fan for life
"How could you forget ""Naruto vs Neji"" in the finals of the Chūnin Exams? That changed so much, both for Naruto, the peoples view of him and how Neji approached his future and family.",how could you forget naruto vs neji in the finals of the chnin exams that changed so much both for naruto the peoples view of him and how neji approached his future and family
The village finally accepting Naruto after he beats pain will always be my favorite moment,the village finally accepting naruto after he beats pain will always be my favorite moment
"Naruto Meeting his parents, and Naruto asking Iruku to be his father at his wedding should have been in top 10",naruto meeting his parents and naruto asking iruku to be his father at his wedding should have been in top 10
Naruto easily deserves his place in the big 3,naruto easily deserves his place in the big 3
Iruka has always been like a father figure to Naruto and asking him to be his dad at his wedding with Hinata was very touching,iruka has always been like a father figure to naruto and asking him to be his dad at his wedding with hinata was very touching
One of the BEST anime series,one of the best anime series
"I'm actually re-watching Naruto right now. I just finished AoT, and tried getting into Bleach and Jojo... and ended up back here. Great series. Another great moment that I think deserved a place on the list was Naruto's first multi shadow-clone jutsu. What sets Naruto apart from other great anime is that it starts extremely hot, I think that's what hooked most viewers.",im actually rewatching naruto right now i just finished aot and tried getting into bleach and jojo and ended up back here great series another great moment that i think deserved a place on the list was narutos first multi shadowclone jutsu what sets naruto apart from other great anime is that it starts extremely hot i think thats what hooked most viewers
"Naruto completely changed my perspective on living life, interacting with others and figuring things out on the daily, whether it be at a grocery store, in traffic or even just relaxing. There’s something about this show that you just come out a better person after watching from beginning to end. And the best part is you don’t even know you’re changing until you’re needing to binge the next episode and nearing the ending. It is THE best story of all time, better than Jurassic Park, better than the Avengers, better than Gone With The Wind or The Wizard of Oz. Each character has meaning and purpose, it is a reflection of our lives. Anybody who watches doesn’t know how blessed they are to have this unforgettable experience.",naruto completely changed my perspective on living life interacting with others and figuring things out on the daily whether it be at a grocery store in traffic or even just relaxing theres something about this show that you just come out a better person after watching from beginning to end and the best part is you dont even know youre changing until youre needing to binge the next episode and nearing the ending it is the best story of all time better than jurassic park better than the avengers better than gone with the wind or the wizard of oz each character has meaning and purpose it is a reflection of our lives anybody who watches doesnt know how blessed they are to have this unforgettable experience
"This show shaped so much of how I interact with the world, the fights aside this story does emotional scenes and ideals so damn good maaaan it's one of the only shows that can invoke tears from me on any level",this show shaped so much of how i interact with the world the fights aside this story does emotional scenes and ideals so damn good maaaan its one of the only shows that can invoke tears from me on any level
"When Naruto returns to the village on Kakashi's back after talking to Nagato, and everyone finally recognizes him. That's peak moment, always hits me.",when naruto returns to the village on kakashis back after talking to nagato and everyone finally recognizes him thats peak moment always hits me
"Thats the power of the show. 
Even when the show has ended, still it's merchandise are off the charts.
The show is widely popular. 

I have been a biggest fan of this show for as long as I remember!",thats the power of the show even when the show has ended still its merchandise are off the charts the show is widely popular i have been a biggest fan of this show for as long as i remember
Tobirama raising his finger and Hashirama getting mad at him was iconic,tobirama raising his finger and hashirama getting mad at him was iconic
Naruto’s outburst during the written portion of the chuunin exam will always be iconic. Influencing all the ninjas left to not quit and the proctor to chuckle. And then his test is blank!,narutos outburst during the written portion of the chuunin exam will always be iconic influencing all the ninjas left to not quit and the proctor to chuckle and then his test is blank
"Naruto vs pain, Naruto vs Gaara, Rock Lee vs Gaara, Naruto becoming Hokage, Naruto vs Sasuke (both final battles of the first part and Shippuden), Naruto and Kurama working together, the rasengan and shadow clone jutsu are among My favorites",naruto vs pain naruto vs gaara rock lee vs gaara naruto becoming hokage naruto vs sasuke both final battles of the first part and shippuden naruto and kurama working together the rasengan and shadow clone jutsu are among my favorites
"i loved how much we got with shikamaru dealing with his grief for Asuma,the episode is so well done and really breathes life into shikamaru's inner thoughts and feelings",i loved how much we got with shikamaru dealing with his grief for asumathe episode is so well done and really breathes life into shikamarus inner thoughts and feelings
When Jaryiah died I had to take a break from the show for a week to properly mourn,when jaryiah died i had to take a break from the show for a week to properly mourn
"Naruto vs Sasuke, Naruto becoming Hokage & Naruto vs Gaara",naruto vs sasuke naruto becoming hokage naruto vs gaara
Please do Top 30 Anime Characters that DIDN’T deserve the Hate.,please do top 30 anime characters that didnt deserve the hate
This is the first time in 8 years I’ve seen a watch mojo video on my recommended page,this is the first time in 8 years ive seen a watch mojo video on my recommended page
Kakashi vs obito being forgotten is criminal,kakashi vs obito being forgotten is criminal
Minato vs Tobi should be top 15 at least. We finally got to see the legendary yellow flash in action. He didn’t even need to power up to beat someone that everybody has been trying to touch the entire series.,minato vs tobi should be top 15 at least we finally got to see the legendary yellow flash in action he didnt even need to power up to beat someone that everybody has been trying to touch the entire series
26:53 😢…. Still hurts,2653 still hurts
"I still remember 2007, waiting for shippuden.. looking up videos of it on YouTube becauze I couldn’t watch yet. That was the first I’d heard it in Japanese and seeing sasuke grown, talking to the nine tails is iconic.",i still remember 2007 waiting for shippuden looking up videos of it on youtube becauze i couldnt watch yet that was the first id heard it in japanese and seeing sasuke grown talking to the nine tails is iconic
This channel is criminally underrated.,this channel is criminally underrated
Legit. When Naruto meets his mom breaks me. Well actually both his parents but still,legit when naruto meets his mom breaks me well actually both his parents but still
This was absolutely wonderful!!! The video took me over an hour to finish because I kept pausing and going on and on about each moment 🤦🏻‍♀️🤦🏻‍♀️😂😂 Iconic 🙌🙌🔥🔥 Thank you ❤️,this was absolutely wonderful the video took me over an hour to finish because i kept pausing and going on and on about each moment iconic thank you
"I first watched Naruto when I was about four years old. By that time, it had already been airing for around three years, but I quickly caught on. By the time Shippuden came out, I was already a massive Naruto fan. It's extremely hard to believe how fast those 10 years of Shippuden passed—and even more unreal that it’s already been nearly a decade since it ended.

Thinking back to when I waited a whole week for each new episode, I couldn't even comprehend the idea of Shippuden having 500 episodes if someone had told me at the beginning it's going to be that long. Watching anime over such a long period is a completely different experience compared to binge-watching. The story just hits differently, and the emotions are incomparable. The pacing, fillers, and storytelling all felt natural. I enjoyed the fillers as much as the canon episodes and would never skip them like some people do—they just added depth to the story and the world of the anime.

I’m missing some key moments, but to include them all, we’d need something like a ""Top 300 Naruto Moments"" list. Some of the most unforgettable moments for me include how Naruto changed Nagato’s way of thinking, the fight where Konan nearly killed Obito, how the Legendary Sannin found the three kids and Jiraiya raised them, all of Orochimaru’s attempts to kidnap Naruto, Sasuke’s fight with the Eight-Tails, Naruto breaking through the barriers after training and joining the Great War, Shikamaru’s father’s death, Obito’s death, Neji’s death, Asuma’s death, Grandma Chiyo’s death, Rin’s death—and so many other unforgettable losses.

Then there was Sakura ""confessing"" to Naruto, Naruto vs. Neji in the Chunin Exams, Sasuke finally killing that bastard Danzo, Sasuke learning the truth about Itachi, Sasuke and revived Itachi’s reunion, Naruto's training rasengan, Tsunade giving Naruto her necklace, Naruto training moments with Jiraya, Naruto mastering Rasen-Shuriken and using it for the first time, annoucement of Jiraya's death to Tsunade and Naruto, and countless other memorable moments.

This show has been great, a true masterpiece and lifework dedication from Masashi Kishimoto and all other participating animators and artists. Thank you :)",i first watched naruto when i was about four years old by that time it had already been airing for around three years but i quickly caught on by the time shippuden came out i was already a massive naruto fan its extremely hard to believe how fast those 10 years of shippuden passedand even more unreal that its already been nearly a decade since it ended thinking back to when i waited a whole week for each new episode i couldnt even comprehend the idea of shippuden having 500 episodes if someone had told me at the beginning its going to be that long watching anime over such a long period is a completely different experience compared to bingewatching the story just hits differently and the emotions are incomparable the pacing fillers and storytelling all felt natural i enjoyed the fillers as much as the canon episodes and would never skip them like some people dothey just added depth to the story and the world of the anime im missing some key moments but to include them all wed need something like a top 300 naruto moments list some of the most unforgettable moments for me include how naruto changed nagatos way of thinking the fight where konan nearly killed obito how the legendary sannin found the three kids and jiraiya raised them all of orochimarus attempts to kidnap naruto sasukes fight with the eighttails naruto breaking through the barriers after training and joining the great war shikamarus fathers death obitos death nejis death asumas death grandma chiyos death rins deathand so many other unforgettable losses then there was sakura confessing to naruto naruto vs neji in the chunin exams sasuke finally killing that bastard danzo sasuke learning the truth about itachi sasuke and revived itachis reunion narutos training rasengan tsunade giving naruto her necklace naruto training moments with jiraya naruto mastering rasenshuriken and using it for the first time annoucement of jirayas death to tsunade and naruto and countless other memorable moments this show has been great a true masterpiece and lifework dedication from masashi kishimoto and all other participating animators and artists thank you
"Undoubtedly and undisputedly... ""Naruto stops the pain"" is the number 1 iconic moment for sure.",undoubtedly and undisputedly naruto stops the pain is the number 1 iconic moment for sure
You can easily make a top 50 list. Maybe even top 100. Asuma and Nejis deaths are tear jerkers. The first time we get to see Naruto interact with Kurama was crazy. When Kakashi meets his father as he's somewhere between life and death during Pains attack on Konoha. When we get to see who Pain really is. Moments where Iruka is being the best step-dad ever could easily be a list on its own. Bee being a complete idiot could also have a few spots on here 🤣,you can easily make a top 50 list maybe even top 100 asuma and nejis deaths are tear jerkers the first time we get to see naruto interact with kurama was crazy when kakashi meets his father as hes somewhere between life and death during pains attack on konoha when we get to see who pain really is moments where iruka is being the best stepdad ever could easily be a list on its own bee being a complete idiot could also have a few spots on here
This is the goat. Best anime ever,this is the goat best anime ever
This deserves way more likes.,this deserves way more likes
"Toby turned to Madara was one of the iconic moment in naruto. “Whaat, I don’t believe it.. kidding, it is just as I expected”",toby turned to madara was one of the iconic moment in naruto whaat i dont believe it kidding it is just as i expected
Right in the feels. Thanks for making me feel this on Christmas.,right in the feels thanks for making me feel this on christmas
Your channel is underrated.,your channel is underrated
20:37 Gara got Flashbacks,2037 gara got flashbacks
Naruto's first rasenshuriken dudes,narutos first rasenshuriken dudes
Thank you for some goated content it’s nice seeing this on my feed from an amazing YouTube channel,thank you for some goated content its nice seeing this on my feed from an amazing youtube channel
By FAR my favorite anime series BELIEVE IT!!,by far my favorite anime series believe it
This was top-notch quality.,this was topnotch quality
"naruto and hinata finally kiss in the moonlight shot  . .that was epic in the theater in rochester MN,  the entire theater erupted in chears as if someone won the stanley cup at a home game",naruto and hinata finally kiss in the moonlight shot that was epic in the theater in rochester mn the entire theater erupted in chears as if someone won the stanley cup at a home game
"When Naruto and Kurama became friends, that was spectacular. 🎉",when naruto and kurama became friends that was spectacular
Just as i hope..Naruto arrival vs Pain always give me chills,just as i hopenaruto arrival vs pain always give me chills
Definitely would've added when he Does become the hero and saves the village. And they all praise him. You hear Kakashis inner monolog of how he grew up so fast. As the whole village chants his name.,definitely wouldve added when he does become the hero and saves the village and they all praise him you hear kakashis inner monolog of how he grew up so fast as the whole village chants his name
Naruto falling into kakashi and being acknowledge by the village after defeating pain,naruto falling into kakashi and being acknowledge by the village after defeating pain
You’re an amazing creator.,youre an amazing creator
So much talent in one video.,so much talent in one video
Any Minato moment is top tier!,any minato moment is top tier
Amazing production value.,amazing production value
This was exactly what I needed.,this was exactly what i needed
You always explain things so well.,you always explain things so well
"How about a video on Best Scenes From Each Pixar Movie So Far:
Toy Story- Buzz and Woody falling with style
Ratatouille- Remmy cooking
Coco- Miguel singing Remember Me  to Coco
WALL-E: Captain literally standing up to AUTO
Toy Story 3- Aliens saved the toys from being burnt and the fans from crying
etc.",how about a video on best scenes from each pixar movie so far toy story buzz and woody falling with style ratatouille remmy cooking coco miguel singing remember me to coco walle captain literally standing up to auto toy story 3 aliens saved the toys from being burnt and the fans from crying etc
This video has great replay value.,this video has great replay value
You never disappoint.,you never disappoint
"The famous ‘Naturo’ mangaka Masashi Kishimoto turned 50 years old, and his manga masterpiece turned 25 few months ago.",the famous naturo mangaka masashi kishimoto turned 50 years old and his manga masterpiece turned 25 few months ago
Very integral part of my life,very integral part of my life
So much effort went into this.,so much effort went into this
You’re so talented!,youre so talented
Watchmojo should also do a Top 10 or 20 Iconic Sailor Moon moments. There are already iconic moment videos on the big three now so now we need one for the mother of anime.,watchmojo should also do a top 10 or 20 iconic sailor moon moments there are already iconic moment videos on the big three now so now we need one for the mother of anime
Your uploads always make my feed better.,your uploads always make my feed better
Really appreciate this upload.,really appreciate this upload
Naruto Fans: Assemble!,naruto fans assemble
I’ve never clicked “like” so fast.,ive never clicked like so fast
"Overlooked moments:
Iruka Sensei sharing an icicle with Naruto, after Pervy Sage's passing
Shikamaru finals cries after playing shoji with his dad",overlooked moments iruka sensei sharing an icicle with naruto after pervy sages passing shikamaru finals cries after playing shoji with his dad
"Naruto meeting Kushina should be no1 for sure. Everyone who watched those episodes cried, so nicely presented in this intergalactic theme, giving the protective feeling as all mothers do!
 Kurama and Naruto scene, when the ‘Little Brat’ lectured Kurama and made him understood what he is all about should be in second place!",naruto meeting kushina should be no1 for sure everyone who watched those episodes cried so nicely presented in this intergalactic theme giving the protective feeling as all mothers do kurama and naruto scene when the little brat lectured kurama and made him understood what he is all about should be in second place
Loved the transitions.,loved the transitions
Thanks watchmojo ❤😭🥳,thanks watchmojo
29:41 still an awesome battle 😊,2941 still an awesome battle
Such a unique video concept.,such a unique video concept
"Well, the intro scene itself is legendary.",well the intro scene itself is legendary
Could Madara Uchiha capable to kill scarlet witch from MCU?,could madara uchiha capable to kill scarlet witch from mcu
Here’s an idea for your next video. How about top 10 anime sibling fights?,heres an idea for your next video how about top 10 anime sibling fights
that naruto request for iruka to be his dad at his wedding had me balling,that naruto request for iruka to be his dad at his wedding had me balling
"Naruto, Sasuke, Sakura, and Kakashi will always be my favorite characters in the Naruto Franchise and any moment with these characters will always be amazing! Also it's hard to decide what iconic moments from Naruto I love the most, but I guess I love that Sakura actually cuts her hair and her fighting skills are pretty good and it's funny that she calls Naruto an idiot sometimes. Heck, she called Sasuke an idiot one time too.🤩😂🥷🏻🌸🗡️⚔️",naruto sasuke sakura and kakashi will always be my favorite characters in the naruto franchise and any moment with these characters will always be amazing also its hard to decide what iconic moments from naruto i love the most but i guess i love that sakura actually cuts her hair and her fighting skills are pretty good and its funny that she calls naruto an idiot sometimes heck she called sasuke an idiot one time too
Such a creative idea!,such a creative idea
This was well researched.,this was well researched
Such a wholesome moment.,such a wholesome moment
This gave me goosebumps.,this gave me goosebumps
Such a clever approach.,such a clever approach
This was so entertaining!,this was so entertaining
I wish u woulda added when they village acknowledged him after pain Top 10 Moment fs buh great video,i wish u woulda added when they village acknowledged him after pain top 10 moment fs buh great video
"I was waiting for Naruto returning  to the Konokha to fight Pain, during the whole video, and this video didn’t disappoint me😁🫡 (Also Rock lee vs Gaara moment deserves top-2)",i was waiting for naruto returning to the konokha to fight pain during the whole video and this video didnt disappoint me also rock lee vs gaara moment deserves top2
30:16 The reactions to Rock Lee dropping his leg weights 🤣🤣🤣🤣🤣🤣 Sakura and Kakashi's reactions kill me every time,3016 the reactions to rock lee dropping his leg weights sakura and kakashis reactions kill me every time
New idea 💡 do top 30 kids shows that adults love,new idea do top 30 kids shows that adults love
"How you missed the moment when Obito watches Rin die and went completely berserk is something that is beyond my comprehension. That moment was one of the most powerful and iconic moments in the entire Naruto. That moment is much better like half of the moments you put here.
Another moment extremely iconic and powerful is when Edo Tensei Itachi liberates himself from the Edo Tensei user. I think you didn't do your homework very well to miss this 2 of the most iconic moments ever.",how you missed the moment when obito watches rin die and went completely berserk is something that is beyond my comprehension that moment was one of the most powerful and iconic moments in the entire naruto that moment is much better like half of the moments you put here another moment extremely iconic and powerful is when edo tensei itachi liberates himself from the edo tensei user i think you didnt do your homework very well to miss this 2 of the most iconic moments ever
This is gold!,this is gold
"Rock Lee vs Cara is
 100%ATTACK VS %100%DEFENSE",rock lee vs cara is 100attack vs 100defense
Zetsu betrayal to Madara not making the list is a crime 😢,zetsu betrayal to madara not making the list is a crime
My recommended is finally doing something right.,my recommended is finally doing something right
So creative and unique.,so creative and unique
Perfect timing!,perfect timing
You explained it perfectly.,you explained it perfectly
In that same #1 clip; there's the moment that Naruto asks Tsundae if Kakashi was on a mission away from the village. Ultimately learning of Kakashi's death by her silence.,in that same 1 clip theres the moment that naruto asks tsundae if kakashi was on a mission away from the village ultimately learning of kakashis death by her silence
The Minato flashback when he meets A and Bee.,the minato flashback when he meets a and bee
Naruto arriving at the village after speaking to nagato. Best feel good moment,naruto arriving at the village after speaking to nagato best feel good moment
Boruto could never be better 😢,boruto could never be better
Kakashi a bad man,kakashi a bad man
"Can you do it for boruto, too? :D nice cutted! Thx",can you do it for boruto too d nice cutted thx
Sasuke and Naruto fighting together is always insane💀,sasuke and naruto fighting together is always insane
