raw_comment,clean_comment
"In my opinion top 10 strongest character in Naruto but mein yaha pe kisi bhi otsutsuki ko add nahi karunga kyuki wo God hein, 12.jiraiya sensei, 11.Tobirama Senju, 10.Itachi, 9.Pain, ab bohot log mujhse yeh kahenge ki Itachi pain se jyada powerful hein kyuki usne 4th great ninja war mein pain ko hara diya tha, pehli baat Itachi jab reanimate hua tha tab usse illness ki bimari bhi nahi thi jiski wajah se Itachi apne powers and mangekyo sharingan ko apne full potential pe use kar sakta hein,lekin jab pain(Nagato) reanimate hua tha to uske paas uske six pain nahi the jiski wajah se wo haar gaya lekin agar ham uske sage of six paths of pain ki power ko Itachi se compare kare To nagato Itachi se bohot hi jyada powerful hein, 8.DMS Kakashi,aur yaha pe mein DMS Kakashi ki baat kar raha hu jisme paas perfect susanoo,Duol mangekyo sharingan,Kamui and chidori hein aur kakashi ka yeh version Itachi aur Nagato se bohot hi jyada powerful hein, 7.KCM minato, 6.Hashirama, kuch log bolenge ki KCM minato Hashirama se jyada powerful hein lekin esa nahi hein because Hashirama ne madara aur uske perfect susanoo aur Kurama ko ek sath hara rakha hein aur 4th great ninja war mein usne 10 tails tak ko rok diya tha, 5.(8th inner gate) Might Guy maine might guy ko isiliye itna upar rakha hein kyuki might guy ne ten tails madara ko bhi almost maar diya tha, 4.Sasuke , ab 90% logo ko yahi lagta hein ki Sasuke aur Naruto ki powers equal hein aur esa log isilye kehte hein kyuki final valley mein Sasuke aur Naruto ki fight tie hogayi thi lekin esa nahi hein Naruto hamesha se Sasuke se jyada powerful tha aur baat kare final valley mein hui fight ki to Naruto chahta to Sasuke ko ussi wakt khatam kar deta lekin wo esa nahi karna chahta tha,lekin app log yeh bhi to dekho ki Naruto ne ek ese bande ko overpowered kiya jiske paas perfect susanoo,indra's arrow,chidori,EMS,6 tomoe rinnegan aur amaterasu jaise khatarnak techniques thi,lekin agar ham Boruto series waale Naruto ki baat kare jiske paas abhi kurama nahi hein aur Sasuke ke paas rinnegan nahi hein,abhi Sasuke jyada strong hein Naruto se lekin mein Shippuden wale Sasuke ko rank kar raha hu jo Naruto se strong nahi hein, 3.Naruto ,Naruto ne Shippuden ke end tak almost sabhi ko surpass kar diya tha, 4.Ten tails Obito, mein maanta hu ki Naruto ke paas Obito se bhi khatarnaak jutsu aur chakra reserve hein lekin yaha dekhe toh Naruto ten tails Obito se powerful nahi hein, 1.Madara uchiha, isme koi shak nahi hein ki madara number 1 position deserve karta hein sirf iss bande ko maarne ke liye pura shinobi world ek jut hogaya tha isse rokne ke liye khud Hagoromo ko aana pada jo ek god hein lekin tab bhi Koi madara ko infinity tsukiyomi activate karne se nahi rok paaya isse yeh pata chalta hein ki madara kitna jyada powerful hein.Agar aapko meri ranking pasand aayi To iss comment ke niche bas ek like kardena 😊❤❤.aur agar abhi bhi aapko koi doubt hein toh aap mujhe bata sakte ho ❤.",in my opinion top 10 strongest character in naruto but mein yaha pe kisi bhi otsutsuki ko add nahi karunga kyuki wo god hein 12jiraiya sensei 11tobirama senju 10itachi 9pain ab bohot log mujhse yeh kahenge ki itachi pain se jyada powerful hein kyuki usne 4th great ninja war mein pain ko hara diya tha pehli baat itachi jab reanimate hua tha tab usse illness ki bimari bhi nahi thi jiski wajah se itachi apne powers and mangekyo sharingan ko apne full potential pe use kar sakta heinlekin jab painnagato reanimate hua tha to uske paas uske six pain nahi the jiski wajah se wo haar gaya lekin agar ham uske sage of six paths of pain ki power ko itachi se compare kare to nagato itachi se bohot hi jyada powerful hein 8dms kakashiaur yaha pe mein dms kakashi ki baat kar raha hu jisme paas perfect susanooduol mangekyo sharingankamui and chidori hein aur kakashi ka yeh version itachi aur nagato se bohot hi jyada powerful hein 7kcm minato 6hashirama kuch log bolenge ki kcm minato hashirama se jyada powerful hein lekin esa nahi hein because hashirama ne madara aur uske perfect susanoo aur kurama ko ek sath hara rakha hein aur 4th great ninja war mein usne 10 tails tak ko rok diya tha 58th inner gate might guy maine might guy ko isiliye itna upar rakha hein kyuki might guy ne ten tails madara ko bhi almost maar diya tha 4sasuke ab 90 logo ko yahi lagta hein ki sasuke aur naruto ki powers equal hein aur esa log isilye kehte hein kyuki final valley mein sasuke aur naruto ki fight tie hogayi thi lekin esa nahi hein naruto hamesha se sasuke se jyada powerful tha aur baat kare final valley mein hui fight ki to naruto chahta to sasuke ko ussi wakt khatam kar deta lekin wo esa nahi karna chahta thalekin app log yeh bhi to dekho ki naruto ne ek ese bande ko overpowered kiya jiske paas perfect susanooindras arrowchidoriems6 tomoe rinnegan aur amaterasu jaise khatarnak techniques thilekin agar ham boruto series waale naruto ki baat kare jiske paas abhi kurama nahi hein aur sasuke ke paas rinnegan nahi heinabhi sasuke jyada strong hein naruto se lekin mein shippuden wale sasuke ko rank kar raha hu jo naruto se strong nahi hein 3naruto naruto ne shippuden ke end tak almost sabhi ko surpass kar diya tha 4ten tails obito mein maanta hu ki naruto ke paas obito se bhi khatarnaak jutsu aur chakra reserve hein lekin yaha dekhe toh naruto ten tails obito se powerful nahi hein 1madara uchiha isme koi shak nahi hein ki madara number 1 position deserve karta hein sirf iss bande ko maarne ke liye pura shinobi world ek jut hogaya tha isse rokne ke liye khud hagoromo ko aana pada jo ek god hein lekin tab bhi koi madara ko infinity tsukiyomi activate karne se nahi rok paaya isse yeh pata chalta hein ki madara kitna jyada powerful heinagar aapko meri ranking pasand aayi to iss comment ke niche bas ek like kardena aur agar abhi bhi aapko koi doubt hein toh aap mujhe bata sakte ho
Where's the god of genjutsu,wheres the god of genjutsu
Like seriously he put's obito under sasuke🤡🤡🤡🤡😹😹😹😹,like seriously he puts obito under sasuke
"My list top 10
1.kaguya
2.hagoromo
3.hamura
4.madara
5.naruto
6.sasuke
7.obito
8.might guy
9.kakashi
10.ashura otsutsuki",my list top 10 1kaguya 2hagoromo 3hamura 4madara 5naruto 6sasuke 7obito 8might guy 9kakashi 10ashura otsutsuki
Baryon mode?,baryon mode
Bro spsm naruto cooks hamura,bro spsm naruto cooks hamura
"My top 10 list
1) Kaguya
2) Haguromo
3) 10 tails madara 
4) 10 tails obito 
5)  Naruto six path
6) Sasuke six path 
7) might guy eight gates ( almost defeat 10tails madara) 
8) Hashirama sage mode or DMS kakashi
9) Ashura
10) Orewa namikaze minato K. C. M",my top 10 list 1 kaguya 2 haguromo 3 10 tails madara 4 10 tails obito 5 naruto six path 6 sasuke six path 7 might guy eight gates almost defeat 10tails madara 8 hashirama sage mode or dms kakashi 9 ashura 10 orewa namikaze minato k c m
Agree with this but not with DMS should be under hashirama,agree with this but not with dms should be under hashirama
Naruto Baryon Mode Solo,naruto baryon mode solo
"It's totally worng

Edo tensei Itachi Uchiha and Edo tensei Nagato uzumaki >>> Minato, kakashi, guy 

Bro they are damn immortals with hell powers and infinite chakra 💀🙆 

Reconsider your list 🫴
1- kaguya Otsutsuki 
2- hagoromo Otsutsuki 
3- hamura Otsutsuki 
4- Madara 10 tails 
5- Naruto six paths 
6- Sasuke Rinnegan 
7- 10 tails Obito 
8- Edo tensei Itachi having sword of totsuka 
9- Edo tensei Nagato 
10 - hashirama senju (Edo tensei)",its totally worng edo tensei itachi uchiha and edo tensei nagato uzumaki minato kakashi guy bro they are damn immortals with hell powers and infinite chakra reconsider your list 1 kaguya otsutsuki 2 hagoromo otsutsuki 3 hamura otsutsuki 4 madara 10 tails 5 naruto six paths 6 sasuke rinnegan 7 10 tails obito 8 edo tensei itachi having sword of totsuka 9 edo tensei nagato 10 hashirama senju edo tensei
Who is Kaguya Otsutsuk?,who is kaguya otsutsuk
Where is indra and asura?,where is indra and asura
Itachi uchiha is 4th place 😢😢,itachi uchiha is 4th place
"10. Hashirama 
9. Juubito
8. Dms kakashi
7. Might guy and the rest are on the point",10 hashirama 9 juubito 8 dms kakashi 7 might guy and the rest are on the point
Shibai otsutsuki,shibai otsutsuki
Shibai laughing in the corner 😂😂😂,shibai laughing in the corner
99999+missed call from shibai otsutski,99999missed call from shibai otsutski
"Kaguya  Otutsuki,Naruto Uzumaki,Sasuke Uchiha,Haguromo Otutsuki,Madara Uchiha, Hashirama Senju,Obito Uchiha, Kakashi Hatake,Minato Namikaze,Tobirama Senju, Pain Otutsuki,Might Guy.",kaguya otutsukinaruto uzumakisasuke uchihahaguromo otutsukimadara uchiha hashirama senjuobito uchiha kakashi hatakeminato namikazetobirama senju pain otutsukimight guy
This has to be ragebait,this has to be ragebait
no any one beat madara and kakashi,no any one beat madara and kakashi
To be honest hashirama must be at 5 atleast,to be honest hashirama must be at 5 atleast
Where's is Itachi,wheres is itachi
Bro watch Naruto in short,bro watch naruto in short
Bro naruto on baryon mode 😅😅,bro naruto on baryon mode
Itachi and might guy where,itachi and might guy where
Bro you watched Naruto from reels the ranking system is very bad 😂😂,bro you watched naruto from reels the ranking system is very bad
Where is Itachi Uchiha 🤔💀👿,where is itachi uchiha
Guy left the chat,guy left the chat
Where itachi x ❤❤❤,where itachi x
